Book Id,Cover,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,ExclusiveShelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
9864913,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1357361164i/9864913.jpg,Jaya: An Illustrated Retelling of the Mahabharata,Devdutt Pattanaik,"Pattanaik, Devdutt",,014310425X,9780143104254,4,4.21,Penguin Global,Paperback,372,2011,2010,,2014/09/14,,,read,,,,1,0
10818853,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1385207843i/10818853.jpg,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,"James, E.L.",,1612130291,9781612130293,3,3.66,Vintage,Paperback,356,2011,2011,,2014/09/13,,,read,,,,1,0
42607,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1561383241i/42607.jpg,As You Like It,William Shakespeare,"Shakespeare, William","William James Rolfe, Halide Edip Adıvar, Vahit Turhan",074348486X,9780743484862,3,3.82,Simon Schuster,Paperback,263,2011,1599,,2014/09/13,,,read,,,,1,0
105578,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320500924i/105578.jpg,One Night at the Call Center,Chetan Bhagat,"Bhagat, Chetan",,0345498321,9780345498328,2,2.52,Ballantine Books,Paperback,320,2007,2005,,2014/09/13,,,read,,,,1,0
28194,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1538266636i/28194.jpg,"Inkheart (Inkworld, #1)",Cornelia Funke,"Funke, Cornelia",Anthea Bell,0439709105,9780439709101,3,3.91,Scholastic Paperbacks,Paperback,563,2005,2003,,2014/09/13,,,read,,,,1,0
16328,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1389734015i/16328.jpg,"The Murder of Roger Ackroyd (Hercule Poirot, #3)",Agatha Christie,"Christie, Agatha",,1579126278,9781579126278,4,4.26,Black Dog & Leventhal Publishers,Hardcover,288,2006,1926,,2014/09/13,,,read,What an amazing book!!!<br/>Had never anticipated the twist at the end.<br/>Just incredible!!,,,1,0
19063,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1522157426i/19063.jpg,The Book Thief,Markus Zusak,"Zusak, Markus",,,,0,4.39,Alfred A. Knopf,Hardcover,552,2006,2006,,2014/09/12,to-read,to-read (#1),to-read,,,,0,0
77203,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1579036753i/77203.jpg,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",,,,4,4.33,Riverhead Books,Paperback,371,2004,2003,,2014/09/12,,,read,,,,1,0
11827808,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1532560274i/40948565.jpg,The Secret of the Nagas (Shiva Trilogy #2),Amish Tripathi,"Tripathi, Amish",,,97893806587,4,4.09,Westland,Paperback,371,2011,2011,,2014/09/12,,,read,,,,1,0
7913305,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1334659192i/7913305.jpg,"The Immortals of Meluha (Shiva Trilogy, #1)",Amish Tripathi,"Tripathi, Amish",,,,5,4.12,Westland ,Paperback,436,2010,2010,,2014/09/12,,,read,,,,1,0
12615008,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1317964666i/12615008.jpg,"Revolution 2020: Love, Corruption, Ambition",Chetan Bhagat,"Bhagat, Chetan",,8129118807,9788129118806,4,3.11,Rupa Publications,Paperback,296,2011,2011,,2014/09/12,,,read,,,,1,0
11125,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1360095966i/11125.jpg,Digital Fortress,Dan Brown,"Brown, Dan",,,,3,3.69,Corgi books,Paperback,510,2004,1998,,2014/09/12,,,read,,,,1,0
17212231,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1534070896i/17212231.jpg,"Inferno (Robert Langdon, #4)",Dan Brown,"Brown, Dan",,0385537859,9780385537858,4,3.88,Doubleday,Hardcover,463,2013,2013,,2014/09/12,,,read,,,,1,0
960,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1176671419i/643301.jpg,"Angels & Demons (Robert Langdon, #1)",Dan Brown,"Brown, Dan",,1416524797,9781416524793,5,3.93,Pocket Books,Mass Market Paperback,736,2006,2000,,2014/08/25,,,read,,,,1,0
